BusinessEntityID,FirstName,MiddleName,LastName,JobTitle,EmailAddress
1,Ken,J,Sánchez,Chief Executive Officer,ken0@adventure-works.com
2,Terri,Lee,Duffy,Vice President of Engineering,terri0@adventure-works.com
3,Roberto,NULL,Tamburello,Engineering Manager,roberto0@adventure-works.com
4,Rob,NULL,Walters,Senior Tool Designer,rob0@adventure-works.com
5,Gail,A,Erickson,Design Engineer,gail0@adventure-works.com
6,Jossef,H,Goldberg,Design Engineer,jossef0@adventure-works.com
7,Dylan,A,Miller,Research and Development Manager,dylan0@adventure-works.com
8,Diane,L,Margheim,Research and Development Engineer,diane1@adventure-works.com
9,Gigi,N,Matthew,Research and Development Engineer,gigi0@adventure-works.com
10,Michael,NULL,Raheem,Research and Development Manager,michael6@adventure-works.com
11,Ovidiu,V,Cracium,Senior Tool Designer,ovidiu0@adventure-works.com
12,Thierry,B,D'Hers,Tool Designer,thierry0@adventure-works.com
13,Janice,M,Galvin,Tool Designer,janice0@adventure-works.com
14,Michael,I,Sullivan,Senior Design Engineer,michael8@adventure-works.com
15,Sharon,B,Salavaria,Design Engineer,sharon0@adventure-works.com
16,David,M,Bradley,Marketing Manager,david0@adventure-works.com
17,Kevin,F,Brown,Marketing Assistant,kevin0@adventure-works.com
18,John,L,Wood,Marketing Specialist,john5@adventure-works.com
19,Mary,A,Dempsey,Marketing Assistant,mary2@adventure-works.com
20,Wanida,M,Benshoof,Marketing Assistant,wanida0@adventure-works.com
21,Terry,J,Eminhizer,Marketing Specialist,terry0@adventure-works.com
22,Sariya,E,Harnpadoungsataya,Marketing Specialist,sariya0@adventure-works.com
23,Mary,E,Gibson,Marketing Specialist,mary0@adventure-works.com
24,Jill,A,Williams,Marketing Specialist,jill0@adventure-works.com
25,James,R,Hamilton,Vice President of Production,james1@adventure-works.com
26,Peter,J,Krebs,Production Control Manager,peter0@adventure-works.com
27,Jo,A,Brown,Production Supervisor - WC60,jo0@adventure-works.com
28,Guy,R,Gilbert,Production Technician - WC60,guy1@adventure-works.com
29,Mark,K,McArthur,Production Technician - WC60,mark1@adventure-works.com
30,Britta,L,Simon,Production Technician - WC60,britta0@adventure-works.com
31,Margie,W,Shoop,Production Technician - WC60,margie0@adventure-works.com
32,Rebecca,A,Laszlo,Production Technician - WC60,rebecca0@adventure-works.com
33,Annik,O,Stahl,Production Technician - WC60,annik0@adventure-works.com
34,Suchitra,O,Mohan,Production Technician - WC60,suchitra0@adventure-works.com
35,Brandon,G,Heidepriem,Production Technician - WC60,brandon0@adventure-works.com
36,Jose,R,Lugo,Production Technician - WC60,jose0@adventure-works.com
37,Chris,O,Okelberry,Production Technician - WC60,chris2@adventure-works.com
38,Kim,B,Abercrombie,Production Technician - WC60,kim1@adventure-works.com
39,Ed,R,Dudenhoefer,Production Technician - WC60,ed0@adventure-works.com
40,JoLynn,M,Dobney,Production Supervisor - WC60,jolynn0@adventure-works.com
41,Bryan,NULL,Baker,Production Technician - WC60,bryan0@adventure-works.com
42,James,D,Kramer,Production Technician - WC60,james0@adventure-works.com
43,Nancy,A,Anderson,Production Technician - WC60,nancy0@adventure-works.com
44,Simon,D,Rapier,Production Technician - WC60,simon0@adventure-works.com
45,Thomas,R,Michaels,Production Technician - WC60,thomas0@adventure-works.com
46,Eugene,O,Kogan,Production Technician - WC60,eugene1@adventure-works.com
47,Andrew,R,Hill,Production Supervisor - WC10,andrew0@adventure-works.com
48,Ruth,Ann,Ellerbrock,Production Technician - WC10,ruth0@adventure-works.com
49,Barry,K,Johnson,Production Technician - WC10,barry0@adventure-works.com
50,Sidney,M,Higa,Production Technician - WC10,sidney0@adventure-works.com
51,Jeffrey,L,Ford,Production Technician - WC10,jeffrey0@adventure-works.com
52,Doris,M,Hartwig,Production Technician - WC10,doris0@adventure-works.com
53,Diane,R,Glimp,Production Technician - WC10,diane0@adventure-works.com
54,Bonnie,N,Kearney,Production Technician - WC10,bonnie0@adventure-works.com
55,Taylor,R,Maxwell,Production Supervisor - WC50,taylor0@adventure-works.com
56,Denise,H,Smith,Production Technician - WC50,denise0@adventure-works.com
57,Frank,T,Miller,Production Technician - WC50,frank1@adventure-works.com
58,Kendall,C,Keil,Production Technician - WC50,kendall0@adventure-works.com
59,Bob,N,Hohman,Production Technician - WC50,bob0@adventure-works.com
60,Pete,C,Male,Production Technician - WC50,pete0@adventure-works.com
61,Diane,H,Tibbott,Production Technician - WC50,diane2@adventure-works.com
62,John,T,Campbell,Production Supervisor - WC60,john0@adventure-works.com
63,Maciej,W,Dusza,Production Technician - WC60,maciej0@adventure-works.com
64,Michael,J,Zwilling,Production Technician - WC60,michael7@adventure-works.com
65,Randy,T,Reeves,Production Technician - WC60,randy0@adventure-works.com
66,Karan,R,Khanna,Production Technician - WC60,karan0@adventure-works.com
67,Jay,G,Adams,Production Technician - WC60,jay0@adventure-works.com
68,Charles,B,Fitzgerald,Production Technician - WC60,charles0@adventure-works.com
69,Steve,F,Masters,Production Technician - WC60,steve0@adventure-works.com
70,David,J,Ortiz,Production Technician - WC60,david2@adventure-works.com
71,Michael,Sean,Ray,Production Supervisor - WC30,michael3@adventure-works.com
72,Steven,T,Selikoff,Production Technician - WC30,steven0@adventure-works.com
73,Carole,M,Poland,Production Technician - WC30,carole0@adventure-works.com
74,Bjorn,M,Rettig,Production Technician - WC30,bjorn0@adventure-works.com
75,Michiko,F,Osada,Production Technician - WC30,michiko0@adventure-works.com
76,Carol,M,Philips,Production Technician - WC30,carol0@adventure-works.com
77,Merav,A,Netz,Production Technician - WC30,merav0@adventure-works.com
78,Reuben,H,D'sa,Production Supervisor - WC40,reuben0@adventure-works.com
79,Eric,L,Brown,Production Technician - WC40,eric1@adventure-works.com
80,Sandeep,P,Kaliyath,Production Technician - WC40,sandeep0@adventure-works.com
81,Mihail,U,Frintu,Production Technician - WC40,mihail0@adventure-works.com
82,Jack,T,Creasey,Production Technician - WC40,jack1@adventure-works.com
83,Patrick,M,Cook,Production Technician - WC40,patrick1@adventure-works.com
84,Frank,R,Martinez,Production Technician - WC40,frank3@adventure-works.com
85,Brian,Richard,Goldstein,Production Technician - WC40,brian2@adventure-works.com
86,Ryan,L,Cornelsen,Production Technician - WC40,ryan0@adventure-works.com
87,Cristian,K,Petculescu,Production Supervisor - WC10,cristian0@adventure-works.com
88,Betsy,A,Stadick,Production Technician - WC10,betsy0@adventure-works.com
89,Patrick,C,Wedge,Production Technician - WC10,patrick0@adventure-works.com
90,Danielle,C,Tiedt,Production Technician - WC10,danielle0@adventure-works.com
91,Kimberly,B,Zimmerman,Production Technician - WC10,kimberly0@adventure-works.com
92,Tom,M,Vande Velde,Production Technician - WC10,tom0@adventure-works.com
93,Kok-Ho,T,Loh,Production Supervisor - WC50,kok-ho0@adventure-works.com
94,Russell,NULL,Hunter,Production Technician - WC50,russell0@adventure-works.com
95,Jim,H,Scardelis,Production Technician - WC50,jim0@adventure-works.com
96,Elizabeth,I,Keyser,Production Technician - WC50,elizabeth0@adventure-works.com
97,Mandar,H,Samant,Production Technician - WC50,mandar0@adventure-works.com
98,Sameer,A,Tejani,Production Technician - WC50,sameer0@adventure-works.com
99,Nuan,NULL,Yu,Production Technician - WC50,nuan0@adventure-works.com
100,Lolan,B,Song,Production Technician - WC50,lolan0@adventure-works.com
101,Houman,N,Pournasseh,Production Technician - WC50,houman0@adventure-works.com
102,Zheng,W,Mu,Production Supervisor - WC10,zheng0@adventure-works.com
103,Ebru,N,Ersan,Production Technician - WC10,ebru0@adventure-works.com
104,Mary,R,Baker,Production Technician - WC10,mary1@adventure-works.com
105,Kevin,M,Homer,Production Technician - WC10,kevin2@adventure-works.com
106,John,T,Kane,Production Technician - WC10,john4@adventure-works.com
107,Christopher,E,Hill,Production Technician - WC10,christopher0@adventure-works.com
108,Jinghao,K,Liu,Production Supervisor - WC50,jinghao0@adventure-works.com
109,Alice,O,Ciccu,Production Technician - WC50,alice0@adventure-works.com
110,Jun,T,Cao,Production Technician - WC50,jun0@adventure-works.com
111,Suroor,R,Fatima,Production Technician - WC50,suroor0@adventure-works.com
112,John,P,Evans,Production Technician - WC50,john1@adventure-works.com
113,Linda,K,Moschell,Production Technician - WC50,linda0@adventure-works.com
114,Mindaugas,J,Krapauskas,Production Technician - WC50,mindaugas0@adventure-works.com
115,Angela,W,Barbariol,Production Technician - WC50,angela0@adventure-works.com
116,Michael,W,Patten,Production Technician - WC50,michael2@adventure-works.com
117,Chad,W,Niswonger,Production Technician - WC50,chad0@adventure-works.com
118,Don,L,Hall,Production Technician - WC50,don0@adventure-works.com
119,Michael,T,Entin,Production Technician - WC50,michael4@adventure-works.com
120,Kitti,H,Lertpiriyasuwat,Production Technician - WC50,kitti0@adventure-works.com
121,Pilar,G,Ackerman,Shipping and Receiving Supervisor,pilar0@adventure-works.com
122,Susan,W,Eaton,Stocker,susan0@adventure-works.com
123,Vamsi,N,Kuppa,Shipping and Receiving Clerk,vamsi0@adventure-works.com
124,Kim,T,Ralls,Stocker,kim0@adventure-works.com
125,Matthias,T,Berndt,Shipping and Receiving Clerk,matthias0@adventure-works.com
126,Jimmy,T,Bischoff,Stocker,jimmy0@adventure-works.com
127,David,P,Hamilton,Production Supervisor - WC40,david4@adventure-works.com
128,Paul,B,Komosinski,Production Technician - WC40,paul0@adventure-works.com
129,Gary,W,Yukish,Production Technician - WC40,gary0@adventure-works.com
130,Rob,T,Caron,Production Technician - WC40,rob1@adventure-works.com
131,Baris,F,Cetinok,Production Technician - WC40,baris0@adventure-works.com
132,Nicole,B,Holliday,Production Technician - WC40,nicole0@adventure-works.com
133,Michael,L,Rothkugel,Production Technician - WC40,michael1@adventure-works.com
134,Eric,NULL,Gubbels,Production Supervisor - WC20,eric0@adventure-works.com
135,Ivo,William,Salmre,Production Technician - WC20,ivo0@adventure-works.com
136,Sylvester,A,Valdez,Production Technician - WC20,sylvester0@adventure-works.com
137,Anibal,T,Sousa,Production Technician - WC20,anibal0@adventure-works.com
138,Samantha,H,Smith,Production Technician - WC20,samantha0@adventure-works.com
